the,14523
of,6708
and,6410
a,4668
to,4652
in,4187
that,2918
his,2516
it,2323
i,1845
with,1764
but,1742
as,1726
is,1721
he,1717
was,1636
for,1614
all,1469
this,1399
at,1322
by,1216
not,1137
from,1103
be,1053
on,1045
so,1031
him,1014
whale,929
you,914
one,885
or,794
had,776
have,767
now,730
there,720
were,680
they,655
which,644
their,619
some,611
are,610
then,598
me,596
when,593
an,592
my,575
like,571
upon,564
no,549
into,522
out,512
up,505
more,502
what,492
if,484
them,455
old,441
we,439
would,427
been,415
man,413
other,412
ahab,409
over,402
these,398
ye,396
will,390
its,379
ship,372
such,372
only,370
sea,367
though,360
any,357
down,356
yet,335
who,328
her,321
time,319
very,314
long,312
about,312
than,309
chapter,308
still,307
those,305
great,304
do,300
before,294
said,294
must,291
has,290
most,282
seemed,281
two,281
captain,280
last,273
here,269
whales,264
head,263
after,261
your,256
see,253
way,249
white,249
little,248
may,247
did,247
thou,245
round,242
while,242
again,242
boat,241
sperm,240
first,234
three,234
through,230
how,229
every,226
us,221
much,219
being,218
stubb,218
could,215
say,213
men,209
our,209
same,209
own,204
off,201
can,201
never,198
himself,197
where,197
almost,195
well,194
hand,193
queequeg,193
ever,191
even,187
good,187
side,185
should,184
might,182
thing,181
made,176
go,175
too,173
away,169
among,167
many,167
without,161
water,161
starbuck,160
come,159
far,159
look,158
seen,158
day,158
deck,156
eyes,154
sort,152
nor,151
part,151
world,149
cried,148
thought,148
once,146
back,145
know,144
right,142
whole,137
air,137
boats,136
life,135
against,133
crew,132
thus,131
each,129
let,129
came,129
things,129
take,128
whale’s,128
night,126
tell,126
soon,126
full,125
feet,125
small,124
pequod,123
till,120
under,120
both,120
thee,118
something,118
found,118
between,118
hands,116
line,115
towards,115
she,115
whaling,114
make,114
think,114
just,113
called,112
another,111
thy,111
god,111
times,110
along,110
place,109
oh,108
sir,108
saw,108
body,107
nothing,106
poor,105
don’t,105
heard,103
sight,102
work,102
high,100
moment,99
end,98
voyage,97
fish,97
went,97
strange,96
few,94
hold,94
shall,94
does,94
get,92
also,91
why,91
face,91
certain,90
however,89
leviathan,89
flask,89
stood,89
“i,89
nantucket,89
whether,88
because,88
perhaps,87
indeed,87
half,87
new,87
black,87
dead,87
sometimes,86
project,86
whose,86
seems,86
seas,85
am,85
going,85
true,84
seem,84
years,83
it’s,83
set,83
stand,83
matter,83
aye,83
leg,83
itself,83
moby,82
sun,82
standing,82
he’s,82
wild,82
heart,81
always,80
within,80
known,80
eye,79
present,79
arm,79
days,78
give,78
large,78
sail,78
soul,78
length,77
ere,77
ship’s,77
young,77
oil,77
hard,77
ahab’s,76
sailor,76
beneath,76
ships,76
mind,75
cabin,75
iron,75
instant,74
tail,74
death,74
least,74
light,74
cannot,73
done,73
vast,73
harpooneer,73
land,72
put,72
word,72
living,72
bed,71
dick,71
often,71
enough,70
case,70
near,70
general,70
lay,70
name,68
“the,68
harpoon,68
morning,67
point,67
rather,67
jonah,67
four,67
whalemen,67
turned,66
ocean,66
keep,66
that’s,66
open,66
deep,66
business,66
therefore,65
having,65
left,65
waters,65
looked,64
order,64
bildad,63
wind,63
since,63
reason,63
myself,63
best,62
further,62
pip,62
together,61
board,61
lord,61
better,61
mate,60
fire,60
hear,60
peleg,59
live,59
themselves,59
fishery,59
second,59
forth,58
i’ll,58
mouth,57
feel,57
fine,57
book,57
next,56
turn,56
gutenberg-tm,56
lower,56
looking,56
chase,56
peculiar,56
home,55
above,55
short,55
entire,54
goes,54
call,54
dark,54
curious,54
less,54
find,54
gone,53
aloft,53
began,53
harpooneers,53
bottom,52
jaw,52
grand,52
broad,52
coming,52
there’s,52
comes,52
run,52
slowly,52
below,52
close,51
tashtego,51
used,51
blood,51
particular,51
rest,51
taken,51
indian,51
turning,51
man’s,51
hundred,50
thousand,50
mr,50
taking,50
ivory,50
view,50
nevertheless,49
pequod’s,49
forward,49
took,49
besides,49
mark,49
craft,49
suddenly,49
form,48
behind,48
savage,48
common,48
sharks,48
sailors,48
bows,48
english,48
lost,47
mighty,47
green,47
kept,47
several,47
waves,47
means,47
teeth,47
speak,47
stern,46
whatever,46
yes,46
story,46
voice,46
got,46
told,46
use,46
watch,46
